,x,y,z,MaximumInscribedSphereRadius,CenterlineIds,TractIds,Blanking,GroupIds
552,99.06278991699219,-70.68677520751953,-215.5805206298828,1.5560816207498447,61,12,0,175
553,99.09063720703125,-73.81922149658203,-215.29844665527344,1.53679897619216,61,12,0,175
554,96.02934265136719,-45.89812088012695,-219.09559631347656,3.6363676588043665,62,8,0,176
555,97.886962890625,-45.88298416137695,-216.53839111328125,3.2802410696935516,62,8,0,176
556,99.59716796875,-46.11491012573242,-213.90499877929688,3.252460925841762,62,8,0,176
557,100.90193176269531,-46.377471923828125,-211.04319763183594,3.0549990336602235,62,8,0,176
558,102.26776123046875,-46.62992477416992,-208.24627685546875,2.9202716722920705,62,8,0,176
559,102.57257843017578,-46.418922424316406,-205.33673095703125,2.9013946528082664,62,10,0,178
560,104.04185485839844,-46.27175521850586,-200.57080078125,2.706191919218923,62,10,0,178
561,104.61681365966797,-46.32556915283203,-197.72743225097656,2.311937073942641,62,12,0,180
562,104.7741470336914,-46.36851119995117,-196.42657470703125,2.213837589750976,62,12,0,180
563,104.76470184326172,-47.374786376953125,-194.27383422851562,2.0453468573555904,62,14,0,182
564,105.16461944580078,-48.659996032714844,-191.29183959960938,1.5978689350412891,62,14,0,182
565,105.0899658203125,-50.27011489868164,-188.44264221191406,1.6335283405897778,62,14,0,182
566,105.09840393066406,-51.816078186035156,-185.548583984375,1.627647058315174,62,14,0,182
567,104.99744415283203,-53.42829513549805,-182.69578552246094,1.6354213222019316,62,14,0,182
568,104.9013671875,-55.009307861328125,-179.83343505859375,1.6313968998004946,62,14,0,182
569,89.33619689941406,-46.021461486816406,-220.05934143066406,3.3005942801043275,63,8,0,183
570,86.94068908691406,-45.85129928588867,-217.85801696777344,3.0297050986851817,63,8,0,183
571,84.41307067871094,-45.3516960144043,-215.932373046875,3.175247459323998,63,8,0,183
572,82.84467315673828,-43.31673049926758,-211.85693359375,2.6082576509120066,63,10,0,185
573,80.69058990478516,-42.625858306884766,-206.9541778564453,2.380184315059882,63,10,0,185
574,79.34383392333984,-41.2086181640625,-205.405029296875,2.1085654000292173,63,12,0,187
