,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
127,70.90448,-43.868603,-213.2041,2.2359425055448514,0.0,4.0,10.0,24.0
128,66.641365,-42.032295,-212.45528,2.133967793990636,0.0,4.0,10.0,24.0
129,62.38978,-40.190083,-211.74226,2.1287082647270372,0.0,4.0,10.0,24.0
130,81.90811,-48.59314,-212.76833,2.0800174936774045,0.0,5.0,10.0,25.0
131,80.824936,-52.828587,-209.68018,1.7337408124752622,0.0,5.0,10.0,25.0
132,79.66387,-57.38217,-207.12798,1.6278033411539408,0.0,5.0,10.0,25.0
133,78.851204,-62.01188,-204.52518,1.640199194173226,0.0,5.0,10.0,25.0
134,104.61681,-46.32557,-197.72743,2.267448419548402,0.0,6.0,12.0,26.0
135,104.77415,-46.36851,-196.42657,2.1397615989447667,0.0,6.0,12.0,26.0
136,105.68955,-45.285683,-194.5654,1.9775242291533686,0.0,6.0,14.0,28.0
137,107.19623,-42.44706,-191.32718,1.78038089306486,0.0,6.0,14.0,28.0
138,108.572685,-39.855484,-187.81204,1.758998056924927,0.0,6.0,14.0,28.0
139,109.84105,-37.217083,-184.27695,1.7666821695282386,0.0,6.0,14.0,28.0
140,114.116005,-50.222237,-200.07962,1.777582496397412,0.0,7.0,12.0,29.0
141,118.169174,-50.14368,-197.42062,1.4776689220131614,0.0,7.0,12.0,29.0
142,122.19696,-50.600315,-194.67705,1.3948452909691844,0.0,7.0,12.0,29.0
143,126.241806,-51.061275,-191.97319,1.3668320722238947,0.0,7.0,12.0,29.0
144,79.343834,-41.20862,-205.40503,2.108565400029231,0.0,8.0,12.0,30.0
145,77.212135,-38.420834,-203.00746,1.8782057770354812,0.0,8.0,12.0,30.0
146,75.11471,-35.62718,-200.59439,1.9085250506161515,0.0,8.0,12.0,30.0
147,73.05517,-32.827023,-198.14345,1.8826066643428156,0.0,8.0,12.0,30.0
148,104.7647,-47.374786,-194.27383,2.045346857355593,0.0,9.0,14.0,31.0
149,105.16334,-49.03859,-190.5645,1.6108238613173638,0.0,9.0,14.0,31.0
150,105.11725,-51.039917,-186.9952,1.6376197485565633,0.0,9.0,14.0,31.0
151,105.011284,-53.027054,-183.41005,1.633463779310115,0.0,9.0,14.0,31.0
152,104.90137,-55.009308,-179.83344,1.6313968998004789,0.0,9.0,14.0,31.0
153,98.09445,-57.74257,-216.92433,2.4218316947318344,0.0,10.0,10.0,32.0
154,98.627235,-58.91327,-216.76135,2.3448491593450984,0.0,10.0,10.0,32.0
155,98.83111,-61.31323,-216.38704,1.9968500175570878,0.0,10.0,12.0,34.0
156,99.06881,-65.4693,-215.97693,1.541409651259161,0.0,10.0,12.0,34.0
157,99.08941,-69.63941,-215.63672,1.5300527503363612,0.0,10.0,12.0,34.0
158,99.09064,-73.81922,-215.29845,1.53679897619216,0.0,10.0,12.0,34.0
159,100.6394,-60.078297,-217.24792,1.786219050966484,0.0,11.0,12.0,35.0
160,105.17048,-62.031254,-217.41333,1.2607487013696954,0.0,11.0,12.0,35.0
161,109.37373,-64.59836,-217.91225,1.346882479219764,0.0,11.0,12.0,35.0
162,113.46525,-67.33846,-218.47214,1.3486058318767715,0.0,11.0,12.0,35.0
163,88.73125,-42.672344,-237.03801,4.632091096641744,0.0,12.0,6.0,36.0
164,86.18368,-45.85522,-237.75452,4.067951656998733,0.0,12.0,6.0,36.0
165,83.28692,-48.58244,-238.84418,3.5484186444454826,0.0,12.0,6.0,36.0
166,80.73845,-51.352932,-238.24854,3.4586420757548564,0.0,12.0,8.0,38.0
167,78.19648,-54.31384,-237.55275,3.3374482990885146,0.0,12.0,8.0,38.0
168,75.02438,-55.16957,-236.98111,2.9684990442137225,0.0,12.0,10.0,40.0
169,70.580864,-56.331715,-236.62886,2.564317950031496,0.0,12.0,10.0,40.0
170,66.204094,-57.268757,-237.60133,2.35696136706572,0.0,12.0,10.0,40.0
