,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
17517,17517,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,6.0,4.0,4.0
17518,17518,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,6.0,4.0,4.0
17519,17519,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,6.0,4.0,4.0
17520,17520,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,6.0,4.0,4.0
17521,17521,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,6.0,4.0,4.0
17522,17522,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,6.0,4.0,4.0
17523,17523,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,6.0,4.0,4.0
17524,17524,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,6.0,4.0,4.0
17525,17525,92.08452,-37.538,-236.54198,4.71773566665717,0.0,6.0,4.0,4.0
17526,17526,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,6.0,4.0,4.0
17527,17527,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,6.0,4.0,4.0
20088,20088,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,7.0,4.0,4.0
20089,20089,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,7.0,4.0,4.0
20090,20090,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,7.0,4.0,4.0
20091,20091,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,7.0,4.0,4.0
20092,20092,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,7.0,4.0,4.0
20093,20093,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,7.0,4.0,4.0
20094,20094,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,7.0,4.0,4.0
20095,20095,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,7.0,4.0,4.0
20096,20096,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,7.0,4.0,4.0
20097,20097,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,7.0,4.0,4.0
20098,20098,92.08452,-37.538,-236.54198,4.71773566665717,0.0,7.0,4.0,4.0
20099,20099,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,7.0,4.0,4.0
20100,20100,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,7.0,4.0,4.0
22670,22670,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,8.0,4.0,4.0
22671,22671,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,8.0,4.0,4.0
22672,22672,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,8.0,4.0,4.0
22673,22673,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,8.0,4.0,4.0
22674,22674,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,8.0,4.0,4.0
22675,22675,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,8.0,4.0,4.0
22676,22676,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,8.0,4.0,4.0
22677,22677,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,8.0,4.0,4.0
22678,22678,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,8.0,4.0,4.0
22679,22679,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,8.0,4.0,4.0
22680,22680,92.08452,-37.538,-236.54198,4.71773566665717,0.0,8.0,4.0,4.0
22681,22681,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,8.0,4.0,4.0
22682,22682,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,8.0,4.0,4.0
25204,25204,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,9.0,4.0,4.0
25205,25205,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,9.0,4.0,4.0
25206,25206,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,9.0,4.0,4.0
